id,code,name,type,user_type:id,parent_id:id,reconcile,chart_template_id:id
521008,521008,Advertising,other,l10n_seg.user_type_expense,sell_dist_expenses,FALSE,l10n_seg.singapore_account_chart_template
521009,521009,Business Promotion,other,l10n_seg.user_type_expense,sell_dist_expenses,FALSE,l10n_seg.singapore_account_chart_template
521010,521010,Sample & Gift,other,l10n_seg.user_type_expense,sell_dist_expenses,FALSE,l10n_seg.singapore_account_chart_template
521011,521011,Travel & Living,other,l10n_seg.user_type_expense,sell_dist_expenses,FALSE,l10n_seg.singapore_account_chart_template
521012,521012,Entertainment,other,l10n_seg.user_type_expense,sell_dist_expenses,FALSE,l10n_seg.singapore_account_chart_template
final_expenses,530,Financial Expenses,view,l10n_seg.user_type_view,total_expenses,FALSE,l10n_seg.singapore_account_chart_template
sub_final_expenses,5303,Financial Expenses,view,l10n_seg.user_type_view,final_expenses,FALSE,l10n_seg.singapore_account_chart_template
530301,530301,Bank Charges,other,l10n_seg.user_type_expense,sub_final_expenses,FALSE,l10n_seg.singapore_account_chart_template
530302,530302,Realised Exchange Loss,other,l10n_seg.user_type_expense,sub_final_expenses,FALSE,l10n_seg.singapore_account_chart_template
530303,530303,Unrealised Exchange Loss,other,l10n_seg.user_type_expense,sub_final_expenses,FALSE,l10n_seg.singapore_account_chart_template
530304,530304,Bank Interest,other,l10n_seg.user_type_expense,sub_final_expenses,FALSE,l10n_seg.singapore_account_chart_template
income_tax,540,Income Tax  ,view,l10n_seg.user_type_view,total_expenses,FALSE,l10n_seg.singapore_account_chart_template
sub_income_tax,5401,Income Tax  ,view,l10n_seg.user_type_view,income_tax,FALSE,l10n_seg.singapore_account_chart_template
540101,540101,Income Tax  ,other,l10n_seg.user_type_expense,sub_income_tax,FALSE,l10n_seg.singapore_account_chart_template
540102,540102,Goods & Services Tax,other,l10n_seg.user_type_expense,sub_income_tax,FALSE,l10n_seg.singapore_account_chart_template
